,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,lum_25,lum_75
174,8138-12702,0.0,0.760408893309,0.760408893309,18.9351529663,18.9351529663,247.197770838,247.197770838,1.26653504442,-20.38425,-17.52345
175,8081-12702,0.0,0.28730421329,0.28730421329,12.082186989,12.082186989,192.930356986,192.930356986,1.11713665944,-18.38605,-16.5997
176,8452-12702,0.0,0.79168468701,0.79168468701,33.6188323971,33.6188323971,231.428561569,231.428561569,1.20461095101,-19.71365,-16.42975
177,8132-12702,0.0,0.544991220955,0.544991220955,20.1837061204,20.1837061204,222.757873122,222.757873122,1.13904761905,-21.9102,-19.03995
178,8134-12702,0.0,0.354332744637,0.354332744637,27.7024466351,27.7024466351,247.400586003,247.400586003,1.1071919377,-21.48955,-18.4102
179,8137-12702,0.0,0.208940549203,0.208940549203,16.0186552756,16.0186552756,227.380700074,227.380700074,1.1313312416,-20.43615,-18.39385
180,8247-12702,0.0,0.709194949135,0.709194949135,-12.0069195325,-12.0069195325,204.529034956,204.529034956,1.12395309883,-19.9635,-18.0142
181,8140-12702,0.0,1.28071638236,1.28071638236,-10.9886293237,-10.9886293237,217.297045229,217.297045229,1.2380952381,-19.36895,-16.3064
182,8626-12702,0.0,0.942780987916,0.942780987916,-3.37030839146,-3.37030839146,348.303462132,348.303462132,1.17056074766,-20.87855,-17.3683
183,8135-12702,0.0,0.472162238357,0.472162238357,32.2547264613,32.2547264613,219.774272876,219.774272876,1.19513755598,-20.83595,-18.2334
184,8250-12702,0.0,0.466578813874,0.466578813874,15.3143702971,15.3143702971,202.57897224,202.57897224,1.16830985915,-19.81445,-17.47135
185,8612-12702,0.0,0.451601713708,0.451601713708,11.3296986192,11.3296986192,264.015426985,264.015426985,1.14705882353,-22.24785,-19.495
186,8141-12702,0.0,0.277841057997,0.277841057997,29.8904648539,29.8904648539,233.164109035,233.164109035,1.11906092789,-21.12755,-18.1252
187,8253-12702,0.0,3.01549478608,3.01549478608,26.3261601325,26.3261601325,327.731136796,327.731136796,1.38766519824,-22.8171,-18.80515
188,8254-12702,0.0,0.869488238135,0.869488238135,7.71668561102,7.71668561102,210.613555949,210.613555949,1.09139784946,-18.7657,-16.2898
189,8448-12702,0.0,2.10351505374,2.10351505374,102.376565645,102.376565645,210.666369396,210.666369396,1.11901840491,-19.5864,-17.6566
190,8548-12702,0.0,0.365777971661,0.365777971661,-5.87014439886,-5.87014439886,239.007989869,239.007989869,1.21125206839,-20.4736,-17.91355
191,8549-12702,0.0,0.639698262389,0.639698262389,38.9469619696,38.9469619696,246.144739254,246.144739254,1.24613455913,-21.911,-18.4827
