,galaxy_id,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,is_AGN
200,8083-12701,2.73601223082,2.73601223082,20.7335744973,20.7335744973,197.619261509,197.619261509,1.0684596577,1.0
201,8083-6101,0.711750974811,0.711750974811,13.2976802833,13.2976802833,252.501736358,252.501736358,1.14956521739,1.0
202,8083-9101,0.839575118068,0.839575118068,28.8604484303,28.8604484303,296.393424463,296.393424463,1.28215120811,1.0
203,8084-12702,0.415777947385,0.415777947385,20.9450143431,20.9450143431,227.220867669,227.220867669,1.13614035088,1.0
204,8084-6103,0.42530067246,0.42530067246,29.2553191993,29.2553191993,322.883386589,322.883386589,1.19858156028,1.0
205,8086-12705,1.10476171133,1.10476171133,-142.424151386,-142.424151386,323.13291216,323.13291216,1.13984962406,1.0
206,8131-12704,0.242029541051,0.242029541051,34.9253233347,34.9253233347,239.424312868,239.424312868,1.14255543823,1.0
207,8131-6104,1.14964163264,1.14964163264,-13.9446058744,-13.9446058744,322.063645543,322.063645543,1.39473684211,1.0
208,8132-6102,1.47107991773,1.47107991773,23.9616613921,23.9616613921,211.042042881,211.042042881,1.05555555556,1.0
209,8133-12704,0.875868367501,0.875868367501,-43.4836585597,-43.4836585597,443.229759492,443.229759492,1.59009628611,1.0
210,8134-9102,0.609273244419,0.609273244419,37.2241365822,37.2241365822,307.280914055,307.280914055,1.19861431871,1.0
211,8135-12701,0.405989928229,0.405989928229,26.5609678483,26.5609678483,244.021941137,244.021941137,1.16893564356,1.0
212,8135-12704,0.239398681984,0.239398681984,48.9951791927,48.9951791927,233.63261639,233.63261639,1.24107142857,1.0
213,8140-9102,1.50354311667,1.50354311667,43.0475174654,43.0475174654,295.005859484,295.005859484,1.22336065574,1.0
214,8141-3701,0.583672105859,0.583672105859,34.118313974,34.118313974,302.022570346,302.022570346,1.30967741935,1.0
215,8146-12705,0.530090040753,0.530090040753,13.1750860466,13.1750860466,301.733201325,301.733201325,1.1054313099,1.0
